iter	RMSE
0	0.2065291403
1	0.1929402975
2	0.1795920082
3	0.1678778627
4	0.1576726911
5	0.1485793717
6	0.1405288084
7	0.1335533741
8	0.1274443105
9	0.1208038233
10	0.1148580337
11	0.1100429716
12	0.1056881894
13	0.1016741087
14	0.09759780298
15	0.09398447131
16	0.09070150879
17	0.08791360107
18	0.08523109339
19	0.08257139349
20	0.08041611474
21	0.078494101
22	0.07690150952
23	0.07495210087
24	0.07340698788
25	0.0718762602
26	0.07045628797
27	0.06916974567
28	0.06799634145
29	0.06682320813
30	0.06577586676
31	0.06483578048
32	0.06396252352
33	0.06310818905
34	0.06266585988
35	0.0619189579
36	0.06117919119
37	0.0606049853
38	0.05989184849
39	0.05923523912
40	0.05868315176
41	0.05808427944
42	0.05753082879
43	0.05705739685
44	0.05648468285
45	0.05590250905
46	0.0555081832
47	0.05511597261
48	0.05470719666
49	0.05423545574
50	0.05382133897
51	0.05338778044
52	0.05292384383
53	0.05262884981
54	0.05228898425
55	0.05173142028
56	0.05128618069
57	0.05099157279
58	0.05072716567
59	0.05041006142
60	0.05009736853
61	0.04983276466
62	0.04945784367
63	0.04915121588
64	0.04884764516
65	0.04856858576
66	0.0482895047
67	0.04810595395
68	0.04766304043
69	0.04742892984
70	0.0471025472
71	0.04685297816
72	0.04664534002
73	0.04636586331
74	0.04623373798
75	0.04595233281
76	0.04574267737
77	0.04559652287
78	0.0452886241
79	0.04511570256
80	0.04491868383
81	0.04484550117
82	0.04461743334
83	0.04433776709
84	0.04413172387
85	0.04396016748
86	0.0437851642
87	0.04351572838
88	0.04339774583
89	0.04315137881
90	0.04297888454
91	0.04281069102
92	0.04258977052
93	0.04229606046
94	0.04202919072
95	0.04185999689
96	0.04177471879
97	0.04157961966
98	0.04145869191
99	0.04121450693
100	0.04094569037
101	0.04083420715
102	0.04063657641
103	0.04035427917
104	0.04016426359
105	0.04002346932
106	0.03980674403
107	0.03970396885
108	0.03950114448
109	0.03943236905
110	0.03916314716
111	0.03902105032
112	0.03884201717
113	0.03863949455
114	0.03841763933
115	0.03822761602
116	0.03801853107
117	0.03770037818
118	0.03754827882
119	0.03733646194
120	0.03713617764
121	0.03705401295
122	0.03686583693
123	0.03671018419
124	0.03657341739
125	0.03632459805
126	0.03614230088
127	0.03599991099
128	0.0359038489
129	0.03575856141
130	0.03557124992
131	0.03539658751
132	0.0351830656
133	0.03503980371
134	0.03496153772
135	0.03482054324
136	0.03468768216
137	0.03445639631
138	0.0343347136
139	0.03413562712
140	0.03402011024
141	0.03384391545
142	0.03357769867
143	0.0334360169
144	0.03328489861
145	0.03313189667
146	0.03294554139
147	0.03275579066
148	0.03263602173
149	0.03248711781
150	0.03228863389
151	0.03209333232
152	0.03193270378
153	0.03174995303
154	0.03158595949
155	0.03148218322
156	0.0313686045
157	0.03125312451
158	0.03112914895
159	0.03102466274
160	0.03091115706
161	0.03082421006
162	0.03070845641
163	0.03056194857
164	0.03038218288
165	0.03026331943
166	0.03018284246
167	0.03002507292
168	0.02990437338
169	0.0297316624
170	0.02957657353
171	0.02949809795
172	0.02933845236
173	0.02920793348
174	0.02908347595
175	0.02894181185
176	0.02886810982
177	0.02875314716
178	0.02866127939
179	0.02851799699
180	0.02838827503
181	0.02828564058
182	0.02819845613
183	0.02806906732
184	0.02799834615
185	0.02792477863
186	0.02780842248
187	0.02768526339
188	0.02759318846
189	0.02749105437
190	0.02739759723
191	0.02735829886
192	0.0272076888
193	0.02710633881
194	0.02698266766
195	0.02690844875
196	0.02679000097
197	0.0266638028
198	0.02656050629
199	0.02643028042
